client_id,style_id,style_name,outcome,champion_sample_id,distance,reason_if_skipped
rec022gHdXuaZ5tUf,recwG3HBuw4OQIgcJ,Dan,skipped,,,no active candidates
rec022gHdXuaZ5tUf,recotsrMZST7JfVog,Theo,skipped,,,no active candidates
rec022gHdXuaZ5tUf,recTcdNkAX7djYzSI,Laurel,skipped,,,no active candidates
rec022gHdXuaZ5tUf,recNhH6be6YDdVWH3,Arlo,skipped,,,no active candidates
rec02Qt1qe4DsHgjs,recVqAapr3fXvONpt,Eloise,skipped,,,no active candidates
rec02Qt1qe4DsHgjs,recOgNl49zSBHGWn9,Hazel,skipped,,,no active candidates
rec02Qt1qe4DsHgjs,recFzqDWRDbN0XZLj,Kaia,skipped,,,no active candidates
rec02Qt1qe4DsHgjs,recuBEHazg3gnJYlp,Viola,skipped,,,no active candidates
rec02Qt1qe4DsHgjs,rec8XFdAbiTNzvDLV,Drew,skipped,,,no active candidates
rec02iuoZA84B0Be1,rec7VZ0UTR9tIlXkx,Arabella - Linen Organza,skipped,,,no active candidates
rec02iuoZA84B0Be1,rec4EWE6O5J928Kny,Devon,skipped,,,no active candidates
rec02iuoZA84B0Be1,rec8XFdAbiTNzvDLV,Drew,skipped,,,no active candidates
rec02iuoZA84B0Be1,reck4usoYPvUbGbkC,Leighton,skipped,,,no active candidates
rec02iuoZA84B0Be1,recB7Otkun8htDdzj,Marlow,skipped,,,no active candidates
rec040jmHa9anQY0M,recpof5BNU1oZ2XXc,Alexandra,skipped,,,no active candidates
rec040jmHa9anQY0M,recNhH6be6YDdVWH3,Arlo,skipped,,,no active candidates
rec040jmHa9anQY0M,recWi6TRIL11ez5h6,Emerson,skipped,,,no active candidates
rec055XF3Qlo97p7e,recNhH6be6YDdVWH3,Arlo,skipped,,,no active candidates
rec055XF3Qlo97p7e,rechaa9IdNWTCxEad,Stella,skipped,,,no active candidates
rec055XF3Qlo97p7e,recgj6FFJK6KPkxpa,Charlie,skipped,,,no active candidates
rec05kQJC5zoDHGWU,rec4EWE6O5J928Kny,Devon,skipped,,,no active candidates
